Precision,Recall,Threshold
0.001290872837499856,1.0,0.0
0.054266987398759736,0.9979707792207793,0.01
0.10223775060311122,0.997564935064935,0.02
0.13638131214932503,0.9963474025974026,0.03
0.1642550911039657,0.9951298701298701,0.04
0.18755739210284664,0.994724025974026,0.05
0.20772168010182435,0.9935064935064936,0.06
0.22630507219548315,0.992288961038961,0.07
0.24383178503645989,0.9906655844155844,0.08
0.2605814450619923,0.989448051948052,0.09
0.27540167458701065,0.9878246753246753,0.1
0.28859617894861755,0.987012987012987,0.11
0.30261845386533665,0.9849837662337663,0.12
0.3157072154206825,0.9837662337662337,0.13
0.328629579375848,0.9829545454545454,0.14
0.34152889642503886,0.9809253246753247,0.15
0.35487661574618096,0.9805194805194806,0.16
0.36656534954407294,0.9788961038961039,0.17
0.3791528893087703,0.9772727272727273,0.18
0.39061231119051487,0.9760551948051948,0.19
0.40211196781763325,0.9736201298701299,0.2
0.41192644784327204,0.9728084415584416,0.21
0.4226694915254237,0.9715909090909091,0.22
0.4320563787495482,0.9703733766233766,0.23
0.4426716141001855,0.9683441558441559,0.24
0.45347288296860133,0.9671266233766234,0.25
0.4655307481394438,0.9646915584415584,0.26
0.47690763052208834,0.9638798701298701,0.27
0.48726899383983574,0.9630681818181818,0.28
0.4965430546825896,0.9618506493506493,0.29
0.5072898799313894,0.9602272727272727,0.3
0.5171734850142201,0.9594155844155844,0.31
0.5261867617561845,0.958198051948052,0.32
0.5357873210633947,0.9569805194805194,0.33
0.5421270718232044,0.955762987012987,0.34
0.5503748828491096,0.953327922077922,0.35
0.558305568776773,0.9521103896103896,0.36
0.5663117134559535,0.9496753246753247,0.37
0.5742379547689282,0.948051948051948,0.38
0.5835835835835835,0.9464285714285714,0.39
0.5917745620715917,0.9460227272727273,0.4
0.5982510288065843,0.9439935064935064,0.41
0.608433734939759,0.942775974025974,0.42
0.6160998937300743,0.9411525974025974,0.43
0.6225094238018309,0.9383116883116883,0.44
0.6295081967213115,0.935064935064935,0.45
0.6375727348295926,0.9338474025974026,0.46
0.6455696202531646,0.9314123376623377,0.47
0.6542963174421924,0.9301948051948052,0.48
0.662330153223475,0.929788961038961,0.49
0.6700879765395894,0.9273538961038961,0.5
0.6789536266349584,0.926948051948052,0.51
0.6888955944477972,0.9265422077922078,0.52
0.6975176218204107,0.9237012987012987,0.53
0.7048062015503876,0.9224837662337663,0.54
0.7124018838304552,0.9208603896103896,0.55
0.7217973231357553,0.919237012987013,0.56
0.7299741602067183,0.9172077922077922,0.57
0.736773350751143,0.9155844155844156,0.58
0.7420204014478446,0.9151785714285714,0.59
0.7479215164615897,0.9127435064935064,0.6
0.7553083923154702,0.9094967532467533,0.61
0.7627986348122867,0.9070616883116883,0.62
0.772318339100346,0.9058441558441559,0.63
0.7777777777777778,0.9034090909090909,0.64
0.7863217576187101,0.9005681818181818,0.65
0.7942652329749104,0.8993506493506493,0.66
0.802540834845735,0.8973214285714286,0.67
0.8096288129364204,0.8940746753246753,0.68
0.8149386845039019,0.8900162337662337,0.69
0.8195798949737434,0.8867694805194806,0.7
0.8263017863930064,0.8823051948051948,0.71
0.83096972019931,0.8798701298701299,0.72
0.8381726674409601,0.8786525974025974,0.73
0.8459427675421404,0.8758116883116883,0.74
0.8514851485148515,0.872564935064935,0.75
0.8590308370044053,0.8705357142857143,0.76
0.8637833468067906,0.867288961038961,0.77
0.8695829926410467,0.8632305194805194,0.78
0.8773819386909694,0.859577922077922,0.79
0.8808528428093646,0.8551136363636364,0.8
0.8864978902953586,0.8526785714285714,0.81
0.8932080307560871,0.8486201298701299,0.82
0.8982243395409268,0.8417207792207793,0.83
0.9049912434325744,0.8388798701298701,0.84
0.9121171770972037,0.8340097402597403,0.85
0.9182022471910113,0.8291396103896104,0.86
0.9234624145785877,0.8226461038961039,0.87
0.9306839186691312,0.8173701298701299,0.88
0.9366791744840526,0.8104707792207793,0.89
0.9412043622569939,0.8056006493506493,0.9
0.9473429951690822,0.7958603896103896,0.91
0.9529642332190102,0.7893668831168831,0.92
0.9568452380952381,0.7828733766233766,0.93
0.9621975806451613,0.7747564935064936,0.94
0.9676591375770021,0.7650162337662337,0.95
0.974869109947644,0.7556818181818182,0.96
0.9807383627608347,0.7439123376623377,0.97
0.984092155787164,0.7280844155844156,0.98
0.9897435897435898,0.7049512987012987,0.99
0.9950617283950617,0.6542207792207793,1.0
